dataset,partitions,native_best_time,beagle_best_time,improvement_percent
Benchmark1,1,14.64,5.53,62.22677595628414
Benchmark2,1,8.41,1.63,80.61831153388823
DS3,1,3.29,0.94,71.42857142857143
DS4,2,1.95,1.03,47.179487179487175
DS5,4,3.55,0.87,75.49295774647888
DS6,16,33.09,14.66,55.69658507101843
DS7,27,10.81,9.81,9.250693802035153
